КОД;;;Цена;Описание
16699;Кружка 400мл.21-04-137;Кружка 400мл.21-04-137 - Фарфор ТМ Helfer белый;Кружка 400мл.21-04-137 - Фарфор ТМ Helfer белый;Объем: 400мл.
16700;"Кружка 450мл.""Джамбо""21-04-138";"Кружка 450мл.""Джамбо""21-04-138 - Фарфор ТМ Helfer белый";"Кружка 450мл.""Джамбо""21-04-138 - Фарфор ТМ Helfer белый";Объем: 450мл.
16912;Кувшин 1л. 21-04-135;Кувшин 1л. 21-04-135 - Фарфор ТМ Helfer белый;Кувшин 1л. 21-04-135 - Фарфор ТМ Helfer белый;Объем: 1000мл.
4305;Менажница d10см 21-04-063;Менажница d10см 21-04-063 - Фарфор ТМ Helfer белый;Менажница d10см 21-04-063 - Фарфор ТМ Helfer белый;Диаметр: 10см.
3939;Менажница d19см 21-04-021;Менажница d19см 21-04-021 - Фарфор ТМ Helfer белый;Менажница d19см 21-04-021 - Фарфор ТМ Helfer белый;Диаметр: 19см.
3958;Менажница d22см 21-04-022;Менажница d22см 21-04-022 - Фарфор ТМ Helfer белый;Менажница d22см 21-04-022 - Фарфор ТМ Helfer белый;Диаметр: 22см.
3959;Менажница d24см 21-04-023;Менажница d24см 21-04-023 - Фарфор ТМ Helfer белый;Менажница d24см 21-04-023 - Фарфор ТМ Helfer белый;Диаметр: 24см.
23216;Молочник 100мл с ручкой 21-04-213;Молочник 100мл с ручкой 21-04-213 - Фарфор ТМ Helfer белый;Молочник 100мл с ручкой 21-04-213 - Фарфор ТМ Helfer белый; 
3960;Молочник 300мл 21-04-026;Молочник 300мл 21-04-026 - Фарфор ТМ Helfer белый;Молочник 300мл 21-04-026 - Фарфор ТМ Helfer белый;Объем: 300мл.
23215;Молочник 50мл с ручкой 21-04-212;Молочник 50мл с ручкой 21-04-212 - Фарфор ТМ Helfer белый;Молочник 50мл с ручкой 21-04-212 - Фарфор ТМ Helfer белый;Объем: 50мл.
14225;Набор для специй 1/3 21-04-131;Набор для специй 1/3 21-04-131 - Фарфор ТМ Helfer белый;Набор для специй 1/3 21-04-131 - Фарфор ТМ Helfer белый; 
14226;Набор для специй 1/3 WAVE 21-04-132;Набор для специй 1/3 WAVE 21-04-132 - Фарфор ТМ Helfer белый;Набор для специй 1/3 WAVE 21-04-132 - Фарфор ТМ Helfer белый; 
13270;Набор ложек (6шт.) 21-04-119;Набор ложек (6шт.) 21-04-119 - Фарфор ТМ Helfer белый;Набор ложек (6шт.) 21-04-119 - Фарфор ТМ Helfer белый; 
3944;Пепельница 10см 21-04-034;Пепельница 10см 21-04-034 - Фарфор ТМ Helfer белый;Пепельница 10см 21-04-034 - Фарфор ТМ Helfer белый;Диаметр: 10см.
16698;Пепельница 13см.21-04-134;Пепельница 13см.21-04-134 - Фарфор ТМ Helfer белый;Пепельница 13см.21-04-134 - Фарфор ТМ Helfer белый;Диаметр: 13см.
20307;Подставка под влажные салфетки 21-04-145;Подставка под влажные салфетки 21-04-145 - Фарфор ТМ Helfer белый;Подставка под влажные салфетки 21-04-145 - Фарфор ТМ Helfer белый; 
21792;Подставка под палочки 6см 21-04-146;Подставка под палочки 6см 21-04-146 - Фарфор ТМ Helfer белый;Подставка под палочки 6см 21-04-146 - Фарфор ТМ Helfer белый;Длина: 6см.
23587;Сал-к 11,2х5,2см;Сал-к 11,2х5,2см - Фарфор ТМ Helfer белый;Сал-к 11,2х5,2см - Фарфор ТМ Helfer белый;"Высота: 5.2см.
Диаметр: 11.2см."
23591;Сал-к 12х12 см 21-04-201;Сал-к 12х12 см 21-04-201 - Фарфор ТМ Helfer белый;Сал-к 12х12 см 21-04-201 - Фарфор ТМ Helfer белый;"Длина: 12см.
Ширина: 12см."
23592;Сал-к 14,9х14,9х6,4 см 21-04-202;Сал-к 14,9х14,9х6,4 см 21-04-202 - Фарфор ТМ Helfer белый;Сал-к 14,9х14,9х6,4 см 21-04-202 - Фарфор ТМ Helfer белый;"Длина: 14.9см.
Ширина: 14.9см.
Высота: 6.4см."
23593;Сал-к 17,5х17,5 см 21-04-203;Сал-к 17,5х17,5 см 21-04-203 - Фарфор ТМ Helfer белый;Сал-к 17,5х17,5 см 21-04-203 - Фарфор ТМ Helfer белый;"Длина: 17.5см.
Ширина: 17.5см."
23210;Салатник 15,9х15,9х6,3см 21-04-179;Салатник 15,9х15,9х6,3см 21-04-179 - Фарфор ТМ Helfer белый;Салатник 15,9х15,9х6,3см 21-04-179 - Фарфор ТМ Helfer белый;"Длина: 15.9см.
Ширина: 15.9см.
Высота: 6.3см."
6377;Салатник 15см треугольный фигурный 21-04-064;Салатник 15см треугольный фигурный 21-04-064 - Фарфор ТМ Helfer белый;Салатник 15см треугольный фигурный 21-04-064 - Фарфор ТМ Helfer белый;Диаметр: 15см.
23211;Салатник 17,6х17,6х6,6см 21-04-180;Салатник 17,6х17,6х6,6см 21-04-180 - Фарфор ТМ Helfer белый;Салатник 17,6х17,6х6,6см 21-04-180 - Фарфор ТМ Helfer белый;"Длина: 17.6см.
Ширина: 17.6см.
Высота: 6.6см."
3954;Салатник d13h6см 21-04-015 350мл;Салатник d13h6см 21-04-015 350мл - Фарфор ТМ Helfer белый;Салатник d13h6см 21-04-015 350мл - Фарфор ТМ Helfer белый;"Высота: 6см.
Диаметр: 13см.
Объем: 350мл."
3951;Салатник d18h9см 1000мл 21-04-011;Салатник d18h9см 1000мл 21-04-011 - Фарфор ТМ Helfer белый;Салатник d18h9см 1000мл 21-04-011 - Фарфор ТМ Helfer белый;"Высота: 9см.
Диаметр: 18см.
Объем: 1000мл."
22166;Салфетница 12х8см 21-04-147;Салфетница 12х8см 21-04-147 - Фарфор ТМ Helfer белый;Салфетница 12х8см 21-04-147 - Фарфор ТМ Helfer белый;"Длина: 12см.
Высота: 8см."
4289;Салфетница 21-04-044;Салфетница 21-04-044 - Фарфор ТМ Helfer белый;Салфетница 21-04-044 - Фарфор ТМ Helfer белый; 
3942;Сахарница 11см 21-04-027;Сахарница 11см 21-04-027 - Фарфор ТМ Helfer белый;Сахарница 11см 21-04-027 - Фарфор ТМ Helfer белый;Высота: 11см.
20305;Сахарница 9см 21-04-143;Сахарница 9см 21-04-143 - Фарфор ТМ Helfer белый;Сахарница 9см 21-04-143 - Фарфор ТМ Helfer белый;Высота: 9см.
3940;Соусник 15см 21-04-024;Соусник 15см 21-04-024 - Фарфор ТМ Helfer белый;Соусник 15см 21-04-024 - Фарфор ТМ Helfer белый;Высота: 15см.
20023;Соусник 6х2см 21-04-142;Соусник 6х2см 21-04-142 - Фарфор ТМ Helfer белый;Соусник 6х2см 21-04-142 - Фарфор ТМ Helfer белый;"Длина: 6см.
Ширина: 2см."
3962;Соусник с ложкой d9h6см 21-04-037;Соусник с ложкой d9h6см 21-04-037 - Фарфор ТМ Helfer белый;Соусник с ложкой d9h6см 21-04-037 - Фарфор ТМ Helfer белый;"Высота: 6см.
Диаметр: 9см."
12279;Форма круглая 255мл 21-04-113;Форма круглая 255мл 21-04-113 - Фарфор ТМ Helfer белый;Форма круглая 255мл 21-04-113 - Фарфор ТМ Helfer белый;Объем: 255мл.
12277;Форма круглая 340мл 21-04-111;Форма круглая 340мл 21-04-111 - Фарфор ТМ Helfer белый;Форма круглая 340мл 21-04-111 - Фарфор ТМ Helfer белый;Объем: 340мл.
12276;Форма овальная 280мл д.16см 21-04-110;Форма овальная 280мл д.16см 21-04-110 - Фарфор ТМ Helfer белый;Форма овальная 280мл д.16см 21-04-110 - Фарфор ТМ Helfer белый;"Диаметр: 16см.
Объем: 280мл."
12283;Форма овальная с руч 230мл L21см 21-04-117;Форма овальная с руч 230мл L21см 21-04-117 - Фарфор ТМ Helfer белый;Форма овальная с руч 230мл L21см 21-04-117 - Фарфор ТМ Helfer белый;"Длина: 21см.
Объем: 230мл."
12284;Форма овальная с руч 425мл L23.5см 21-04-118;Форма овальная с руч 425мл L23.5см 21-04-118 - Фарфор ТМ Helfer белый;Форма овальная с руч 425мл L23.5см 21-04-118 - Фарфор ТМ Helfer белый;"Длина: 23.5см.
Объем: 425мл."
23597;Форма прямоугольная 17см 21-04-217;Форма прямоугольная 17см 21-04-217 - Фарфор ТМ Helfer белый;Форма прямоугольная 17см 21-04-217 - Фарфор ТМ Helfer белый;Длина: 17см.
23598;Форма прямоугольная 21,5см 21-04-216;Форма прямоугольная 21,5см 21-04-216 - Фарфор ТМ Helfer белый;Форма прямоугольная 21,5см 21-04-216 - Фарфор ТМ Helfer белый;Длина: 21.5см.
23599;Форма прямоугольная 26,5см 21-04-215;Форма прямоугольная 26,5см 21-04-215 - Фарфор ТМ Helfer белый;Форма прямоугольная 26,5см 21-04-215 - Фарфор ТМ Helfer белый;Длина: 26.5см.
3943;Чайник 20см 0,5 л 21-04-031;Чайник 20см 0,5 л 21-04-031 - Фарфор ТМ Helfer белый;Чайник 20см 0,5 л 21-04-031 - Фарфор ТМ Helfer белый;"Длина: 20см.
Объем: 500мл."
